"endTime","artistName","trackName","msPlayed"
"2023-11-06 03:03","BERNA","Da Outro",42400
"2023-11-06 03:04","Blanco","Asura & Indra (feat. Sango)",60534
"2023-11-06 03:06","Dave","Professor X",22272
"2023-11-06 03:06","Nemzzz","Elevate",145711
"2023-11-06 03:07","Sus","Astyle",25472
"2023-11-06 03:08","Trapx10","Trapx10 - No Miming",59164
"2023-11-06 03:09","Stay Flee Get Lizzy","No Refunds",104513
"2023-11-06 03:10","M24","What Can I Say?",47717
"2023-11-06 03:11","Kay-O","Laughing Stock Remix",32600
"2023-11-06 03:12","Dave","Trojan Horse",52871
"2023-11-06 03:15","Dave","UK Rap",198026
"2023-11-06 03:17","Central Cee","Mrs",89540
"2023-11-06 03:17","Central Cee","Obsessed With You",35967
"2023-11-06 03:49","Giacomo Puccini","Musetta's Waltz",14094
"2023-11-06 03:54","Giacomo Puccini","Musetta's Waltz",253554
"2023-11-06 04:01","Justin Hurwitz","Epilogue",459466
"2023-11-06 04:05","Fred Astaire","Cheek to Cheek",198106
"2023-11-06 04:07","Justin Hurwitz","Overture",168500
"2023-11-06 04:12","Emma Stone","Someone In The Crowd",259613
"2023-11-06 04:16","Renée Fleming","You'll Never Know - From ""The Shape Of Water"" Soundtrack",278293
"2023-11-06 04:19","Yrving & Lisa Yeras","Barcarolle From ""The Tales of Hoffman""",141960
"2023-11-06 04:23","Ella Fitzgerald","Blue Skies",226360
"2023-11-06 14:47","Henry Mancini","Breakfast At Tiffany's",129965
"2023-11-06 15:00","Travis Scott","MY EYES",251249
"2023-11-06 15:03","Drake","Feel No Ways",162640
"2023-11-06 15:04","Jack Harlow","Like A Blade Of Grass",114636
"2023-11-06 15:07","Teezo Touchdown","Mood Swings",145542
"2023-11-06 15:09","Drake","Amen (feat. Teezo Touchdown)",141212
"2023-11-06 15:13","Young Thug","Parade on Cleveland (feat. Drake)",228266
"2023-11-06 15:16","Rod Wave","Turks & Caicos (feat. 21 Savage)",160189
"2023-11-06 22:58","Young Nudy","Peaches & Eggplants (feat. 21 Savage)",203813
"2023-11-06 23:00","Offset","FAN",156306
"2023-11-06 23:03","Gucci Mane","There I Go (feat. J. Cole & Mike WiLL Made-It)",172375
"2023-11-06 23:07","Young Thug","Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",226413
"2023-11-06 23:11","Lil Uzi Vert","Aye (feat. Travis Scott)",207835
"2023-11-06 23:11","Gunna","rodeo dr",27449
"2023-11-06 23:19","A$AP Rocky","RIOT (Rowdy Pipe'n)",1625
"2023-11-06 23:22","Gunna","rodeo dr",176946
"2023-11-06 23:24","Gunna","bread & butter",19969
"2023-11-06 23:24","A$AP Rocky","RIOT (Rowdy Pipe'n)",99938
"2023-11-06 23:28","Dave","Sprinter",229133
"2023-11-06 23:28","Polo G","Barely Holdin' On",16985
"2023-11-07 00:33","Chet Baker","There Will Never Be Another You - Vocal Version",1927
"2023-11-07 00:33","Travis Scott","LOST FOREVER (feat. Westside Gunn)",158522
"2023-11-07 00:33","half•alive","Subliminal",1277
"2023-11-07 00:38","Drake","On The Radar Freestyle",275280
"2023-11-07 00:39","Lil Dann","Family Freestyle",97573
"2023-11-07 00:40","Gunna","bread & butter",5108
"2023-11-07 00:40","Travis Scott","GOD'S COUNTRY",53591
"2023-11-07 00:41","Mike WiLL Made-It","Blood Moon (feat. Lil Uzi Vert)",74675
"2023-11-07 00:43","Sleepy Hallow","A N X I E T Y (feat. Doechii)",3761
"2023-11-07 00:43","Gunna","ca$h $hit",117818
"2023-11-07 00:44","Lil Tecca","Need Me",2879
"2023-11-07 00:44","Drake","First Person Shooter (feat. J. Cole)",40379
"2023-11-07 03:40","Offset","SAY MY GRACE (feat. Travis Scott)",173253
"2023-11-07 03:40","Francis Lai","La leçon particulière - Bande originale du film ""La leçon particulière""",21828
"2023-11-07 03:53","Drake","7969 Santa",259847
"2023-11-07 04:49","Bad Bunny","MONACO",1364
"2023-11-07 04:51","Teezo Touchdown","Mood Swings",119814
"2023-11-07 04:54","Bad Bunny","VUELVE CANDY B",180047
